timestep,servo1,servo2,servo3,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,vibratio
0.010579347610473633,170,10,75,512.0,1344.0,400.0,17572.0,512.0,512.0,496.0,65535.0,3216.0,512.0,496.0,512.0,496.0,480.0,496.0,65471.
0.07362580299377441,170,11,75,480.0,480.0,480.0,20036.0,384.0,464.0,480.0,65535.0,4048.0,416.0,432.0,368.0,432.0,480.0,448.0,65311.
0.1362459659576416,170,12,75,416.0,8770.0,416.0,20244.0,496.0,480.0,512.0,65503.0,1616.0,480.0,480.0,480.0,464.0,480.0,480.0,65535.
0.19794344902038574,170,13,75,416.0,5521.0,416.0,20196.0,432.0,384.0,480.0,65535.0,4545.0,416.0,480.0,496.0,2512.0,480.0,480.0,65535.
0.2602074146270752,170,14,75,464.0,8978.0,512.0,20132.0,384.0,384.0,480.0,65535.0,3968.0,480.0,464.0,480.0,480.0,464.0,400.0,65535.
0.3221731185913086,170,15,75,480.0,4016.0,416.0,19044.0,352.0,432.0,464.0,65535.0,4593.0,352.0,432.0,416.0,496.0,416.0,464.0,65535.
0.38538527488708496,170,16,75,464.0,4064.0,496.0,17764.0,464.0,368.0,512.0,65535.0,4545.0,464.0,320.0,432.0,512.0,352.0,512.0,65535.
0.46272993087768555,170,17,75,448.0,3984.0,464.0,17988.0,464.0,528.0,448.0,65087.0,3856.0,352.0,336.0,480.0,496.0,480.0,512.0,65391.
0.5242087841033936,170,18,75,352.0,3520.0,512.0,17940.0,336.0,448.0,512.0,65535.0,3712.0,528.0,464.0,512.0,480.0,496.0,528.0,65503.
0.5862996578216553,170,19,75,448.0,4401.0,480.0,17732.0,512.0,400.0,496.0,65535.0,3264.0,400.0,512.0,336.0,576.0,496.0,352.0,65535.
0.6480014324188232,170,20,75,416.0,4449.0,480.0,17860.0,480.0,464.0,528.0,65535.0,3328.0,512.0,560.0,336.0,416.0,336.0,512.0,65295.
0.7105801105499268,170,21,75,432.0,5121.0,336.0,18148.0,352.0,352.0,336.0,65535.0,2896.0,384.0,352.0,560.0,720.0,352.0,480.0,65535.
0.771796703338623,170,22,75,336.0,4657.0,432.0,18164.0,528.0,464.0,512.0,65183.0,3424.0,352.0,352.0,336.0,688.0,336.0,512.0,65535.
0.8348095417022705,170,23,75,336.0,528.0,432.0,18276.0,400.0,528.0,576.0,65439.0,3488.0,416.0,480.0,512.0,672.0,352.0,432.0,65343.
0.8963029384613037,170,24,75,528.0,576.0,480.0,18436.0,464.0,512.0,384.0,65535.0,3344.0,416.0,480.0,432.0,800.0,304.0,480.0,65535.
0.9586541652679443,170,25,75,352.0,336.0,464.0,18340.0,400.0,464.0,480.0,65535.0,3808.0,512.0,496.0,528.0,720.0,512.0,544.0,65167.
1.0207197666168213,170,26,75,480.0,432.0,352.0,18212.0,352.0,352.0,480.0,65535.0,4145.0,448.0,528.0,496.0,608.0,464.0,528.0,65183.
1.0838291645050049,170,27,75,464.0,352.0,464.0,18500.0,528.0,448.0,464.0,65535.0,768.0,464.0,480.0,4449.0,528.0,336.0,480.0,65535.
1.145620584487915,170,28,75,336.0,480.0,464.0,20709.0,480.0,448.0,272.0,65247.0,1104.0,336.0,336.0,9154.0,464.0,416.0,512.0,65215.
1.2236015796661377,170,29,75,464.0,432.0,480.0,20613.0,496.0,464.0,416.0,65519.0,864.0,560.0,352.0,11538.0,448.0,448.0,416.0,65423.
1.2861709594726562,170,30,75,480.0,464.0,544.0,20821.0,400.0,464.0,496.0,65183.0,1040.0,480.0,464.0,12291.0,400.0,416.0,544.0,65535.
1.348228931427002,170,31,75,352.0,512.0,512.0,22213.0,512.0,528.0,640.0,65535.0,3280.0,480.0,480.0,12499.0,480.0,496.0,512.0,64959.
1.4258835315704346,170,32,75,512.0,496.0,480.0,22613.0,432.0,480.0,480.0,65535.0,2304.0,416.0,352.0,12643.0,448.0,528.0,480.0,64959.
1.4886786937713623,170,33,75,592.0,464.0,336.0,22469.0,480.0,512.0,512.0,65487.0,3792.0,448.0,384.0,13443.0,496.0,464.0,384.0,65199.
1.5514352321624756,170,34,75,512.0,512.0,464.0,23109.0,480.0,496.0,288.0,65535.0,4769.0,480.0,480.0,13507.0,480.0,352.0,400.0,65535.
1.6138944625854492,170,35,75,528.0,480.0,320.0,22933.0,480.0,384.0,352.0,65535.0,3984.0,528.0,416.0,13475.0,384.0,528.0,448.0,65535.
1.6757400035858154,170,36,75,480.0,448.0,480.0,22965.0,528.0,496.0,480.0,65535.0,3936.0,480.0,480.0,13155.0,416.0,480.0,416.0,65311.
1.753279447555542,170,37,75,480.0,528.0,336.0,22853.0,512.0,432.0,352.0,65535.0,4369.0,544.0,464.0,13715.0,480.0,528.0,480.0,65311.
1.8312981128692627,170,38,75,528.0,528.0,352.0,22789.0,336.0,336.0,352.0,65535.0,4497.0,480.0,336.0,14083.0,528.0,496.0,464.0,65343.
1.908545732498169,170,39,75,464.0,416.0,400.0,22693.0,448.0,496.0,352.0,65231.0,4497.0,384.0,512.0,13875.0,480.0,416.0,384.0,64975.
1.9710216522216797,170,40,75,512.0,480.0,400.0,22485.0,528.0,464.0,480.0,65535.0,4481.0,432.0,416.0,14115.0,416.0,352.0,496.0,64991.
2.048578977584839,170,41,75,368.0,384.0,352.0,22181.0,272.0,512.0,400.0,65535.0,4449.0,384.0,528.0,14355.0,512.0,448.0,544.0,65295.
2.11041259765625,170,42,75,336.0,512.0,480.0,22485.0,512.0,400.0,352.0,65167.0,4721.0,368.0,512.0,13667.0,480.0,512.0,464.0,65087.
2.1718783378601074,170,43,75,368.0,464.0,352.0,22485.0,352.0,416.0,528.0,65535.0,4433.0,528.0,480.0,13731.0,464.0,512.0,480.0,65087.
2.2339768409729004,170,44,75,480.0,336.0,544.0,21973.0,512.0,576.0,480.0,65535.0,4961.0,496.0,480.0,13155.0,480.0,496.0,416.0,65087.
2.2965567111968994,170,45,75,528.0,448.0,464.0,21413.0,496.0,384.0,480.0,65535.0,4145.0,400.0,480.0,11874.0,480.0,336.0,448.0,65535.
2.3587520122528076,170,46,75,512.0,496.0,512.0,21717.0,480.0,432.0,416.0,65535.0,3856.0,336.0,496.0,12947.0,480.0,496.0,528.0,65119.
2.420543909072876,170,47,75,480.0,400.0,480.0,21813.0,480.0,464.0,464.0,65535.0,3376.0,528.0,400.0,13859.0,528.0,480.0,512.0,64607.
2.49919056892395,170,48,75,480.0,448.0,368.0,21445.0,512.0,496.0,464.0,65215.0,3264.0,528.0,512.0,13715.0,352.0,544.0,528.0,64735.
2.562349557876587,170,49,75,448.0,416.0,496.0,21573.0,432.0,480.0,464.0,65167.0,3392.0,496.0,496.0,13763.0,496.0,512.0,528.0,65087.
2.6239113807678223,170,50,75,352.0,512.0,352.0,21829.0,416.0,416.0,416.0,65535.0,3168.0,512.0,464.0,13987.0,480.0,512.0,464.0,65071.
2.686523914337158,170,51,75,416.0,432.0,480.0,21429.0,480.0,512.0,544.0,65535.0,2912.0,528.0,352.0,13955.0,320.0,528.0,528.0,65279.
2.7643611431121826,170,52,75,528.0,528.0,528.0,21429.0,432.0,416.0,480.0,65535.0,3216.0,480.0,480.0,14179.0,416.0,544.0,528.0,65487.
2.8272252082824707,170,53,75,464.0,480.0,416.0,22101.0,448.0,464.0,480.0,65535.0,3024.0,352.0,512.0,14243.0,416.0,384.0,368.0,64527.
2.8896942138671875,170,54,75,432.0,400.0,368.0,22325.0,512.0,512.0,352.0,65535.0,3200.0,384.0,512.0,14419.0,336.0,464.0,384.0,65231.
2.950977325439453,170,55,75,496.0,464.0,496.0,21925.0,480.0,496.0,432.0,65183.0,3616.0,432.0,496.0,14483.0,480.0,416.0,384.0,64543.
3.0279531478881836,170,56,75,464.0,544.0,480.0,21349.0,384.0,544.0,480.0,65535.0,3616.0,384.0,544.0,14227.0,464.0,464.0,432.0,65535.
3.090433120727539,170,57,75,512.0,448.0,416.0,22421.0,480.0,528.0,528.0,65535.0,3520.0,400.0,512.0,14083.0,352.0,512.0,384.0,65439.
3.1681132316589355,170,58,75,528.0,464.0,368.0,22197.0,352.0,480.0,528.0,65535.0,3632.0,352.0,352.0,14291.0,352.0,512.0,416.0,64911.
3.2296507358551025,170,59,75,448.0,352.0,512.0,22293.0,416.0,464.0,352.0,65535.0,3472.0,384.0,496.0,14227.0,512.0,528.0,448.0,65103.
3.292160987854004,170,60,75,384.0,544.0,512.0,22405.0,480.0,464.0,496.0,65199.0,3856.0,384.0,368.0,14339.0,544.0,352.0,512.0,64991.
3.399972438812256,170,61,75,512.0,544.0,384.0,22453.0,464.0,464.0,352.0,65343.0,3920.0,352.0,352.0,14115.0,480.0,528.0,512.0,65087.
3.4777348041534424,170,62,75,416.0,496.0,464.0,22581.0,464.0,384.0,528.0,65535.0,3760.0,384.0,480.0,13907.0,400.0,352.0,512.0,65535.
3.5395429134368896,170,63,75,352.0,528.0,448.0,22469.0,496.0,528.0,400.0,65535.0,3136.0,560.0,352.0,13987.0,352.0,432.0,496.0,64991.
3.601360321044922,170,64,75,512.0,464.0,496.0,22117.0,512.0,512.0,416.0,65535.0,3808.0,352.0,352.0,13923.0,480.0,528.0,480.0,65215.
3.663874626159668,170,65,75,480.0,480.0,512.0,22341.0,512.0,512.0,416.0,65535.0,4080.0,512.0,480.0,13891.0,400.0,496.0,448.0,64655.
3.725484609603882,170,66,75,448.0,448.0,432.0,22309.0,384.0,464.0,512.0,65535.0,3808.0,464.0,384.0,13635.0,448.0,496.0,512.0,65087.
3.802881956100464,170,67,75,528.0,352.0,528.0,22837.0,464.0,528.0,416.0,65535.0,3872.0,368.0,384.0,13555.0,320.0,528.0,496.0,64959.
3.8805124759674072,170,68,75,480.0,480.0,448.0,22613.0,512.0,464.0,400.0,65535.0,3504.0,464.0,384.0,13731.0,352.0,544.0,352.0,65359.
3.9579055309295654,170,69,75,528.0,336.0,432.0,22789.0,352.0,512.0,528.0,65535.0,3616.0,496.0,480.0,13411.0,480.0,416.0,480.0,64927.
4.019541025161743,170,70,75,448.0,512.0,512.0,21829.0,512.0,480.0,512.0,65535.0,3840.0,480.0,448.0,13459.0,464.0,384.0,432.0,65183.
4.081247806549072,170,71,75,512.0,512.0,448.0,21861.0,352.0,368.0,512.0,65535.0,3680.0,400.0,496.0,13395.0,512.0,352.0,448.0,65359.
4.158009767532349,170,72,75,400.0,352.0,512.0,21573.0,480.0,400.0,480.0,65359.0,3696.0,464.0,416.0,13619.0,512.0,480.0,416.0,65103.
4.234040260314941,170,73,75,352.0,528.0,320.0,21957.0,528.0,464.0,320.0,65535.0,3424.0,480.0,496.0,13555.0,400.0,432.0,528.0,65535.
4.296854734420776,170,74,75,512.0,416.0,448.0,22357.0,416.0,496.0,432.0,65535.0,3520.0,512.0,512.0,13379.0,448.0,352.0,512.0,65471.
4.374885320663452,170,75,75,496.0,512.0,512.0,21653.0,496.0,512.0,480.0,65535.0,3856.0,432.0,512.0,13139.0,512.0,464.0,496.0,65519.
4.4372406005859375,170,76,75,480.0,384.0,480.0,21973.0,496.0,496.0,464.0,65535.0,3824.0,480.0,416.0,13523.0,384.0,448.0,480.0,65423.
4.514853000640869,170,77,75,416.0,464.0,480.0,21797.0,480.0,352.0,432.0,65151.0,3776.0,448.0,512.0,13523.0,464.0,416.0,384.0,65471.
4.5772788524627686,170,78,75,384.0,480.0,496.0,21669.0,480.0,448.0,480.0,65535.0,3552.0,352.0,544.0,13491.0,480.0,432.0,352.0,65535.
4.639727354049683,170,79,75,560.0,480.0,304.0,21845.0,512.0,448.0,368.0,65535.0,3872.0,368.0,512.0,13459.0,496.0,416.0,560.0,65439.
4.703418016433716,170,80,75,400.0,480.0,448.0,21797.0,352.0,432.0,480.0,65167.0,3792.0,544.0,384.0,13347.0,512.0,384.0,528.0,65423.
4.781555652618408,170,81,75,512.0,480.0,496.0,21733.0,480.0,480.0,480.0,65535.0,3840.0,528.0,432.0,13267.0,528.0,512.0,528.0,65535.
4.8592915534973145,170,82,75,384.0,304.0,400.0,21525.0,480.0,576.0,464.0,65423.0,4048.0,496.0,480.0,13235.0,480.0,480.0,416.0,65535.
4.92133903503418,170,83,75,528.0,528.0,544.0,21701.0,416.0,464.0,384.0,65535.0,3872.0,496.0,512.0,13139.0,480.0,480.0,416.0,65535.
4.983767509460449,170,84,75,480.0,480.0,448.0,21765.0,480.0,464.0,496.0,65535.0,3904.0,352.0,368.0,13203.0,528.0,512.0,512.0,65535.
5.0464537143707275,170,85,75,384.0,480.0,480.0,21589.0,416.0,480.0,512.0,65535.0,4097.0,480.0,416.0,13139.0,512.0,352.0,560.0,64975.
5.109784364700317,170,86,75,480.0,528.0,448.0,22325.0,576.0,480.0,448.0,65423.0,4048.0,512.0,512.0,12611.0,352.0,528.0,496.0,65535.
5.172824859619141,170,87,75,464.0,352.0,384.0,22613.0,528.0,496.0,480.0,65503.0,4241.0,528.0,480.0,12611.0,528.0,528.0,512.0,65535.
5.250565052032471,170,88,75,528.0,416.0,400.0,22469.0,496.0,480.0,480.0,65535.0,3952.0,496.0,480.0,11746.0,512.0,416.0,464.0,65535.
5.327213764190674,170,89,75,448.0,400.0,384.0,22613.0,432.0,400.0,416.0,65535.0,3824.0,512.0,512.0,10898.0,480.0,352.0,480.0,64975.
5.404783725738525,170,90,75,352.0,352.0,448.0,22101.0,400.0,336.0,400.0,65535.0,4145.0,512.0,512.0,10754.0,448.0,528.0,512.0,65359.
5.466865301132202,170,91,75,384.0,384.0,496.0,22309.0,400.0,400.0,384.0,65519.0,3952.0,320.0,480.0,10754.0,480.0,480.0,528.0,64879.
5.528818607330322,170,92,75,416.0,496.0,576.0,21893.0,512.0,464.0,416.0,65535.0,3936.0,496.0,512.0,12419.0,448.0,480.0,464.0,65535.
5.591163873672485,170,93,75,480.0,496.0,336.0,21973.0,480.0,496.0,528.0,65535.0,4000.0,512.0,512.0,12050.0,384.0,416.0,512.0,65471.
5.668379068374634,170,94,75,384.0,464.0,400.0,21909.0,480.0,352.0,400.0,65535.0,4048.0,384.0,464.0,11586.0,432.0,368.0,496.0,64623.
5.7456629276275635,170,95,75,480.0,464.0,528.0,22277.0,480.0,496.0,496.0,65535.0,4048.0,352.0,368.0,10690.0,416.0,480.0,336.0,65535.
5.8074400424957275,170,96,75,384.0,384.0,400.0,22309.0,368.0,528.0,384.0,65535.0,4048.0,352.0,480.0,10642.0,352.0,560.0,384.0,65439.
5.870920181274414,170,97,75,512.0,464.0,432.0,22069.0,432.0,384.0,384.0,65279.0,3952.0,480.0,512.0,10642.0,352.0,528.0,512.0,65375.
5.950967073440552,170,98,75,528.0,400.0,384.0,22469.0,448.0,432.0,480.0,65535.0,3888.0,352.0,512.0,10754.0,464.0,512.0,576.0,65519.
6.012677192687988,170,99,75,464.0,464.0,480.0,22117.0,544.0,528.0,464.0,65343.0,4225.0,480.0,416.0,10418.0,512.0,400.0,352.0,65535.
6.0750298500061035,170,100,75,384.0,576.0,528.0,22213.0,464.0,400.0,416.0,65535.0,3952.0,512.0,480.0,10626.0,464.0,512.0,448.0,65535.
6.136981010437012,170,101,75,416.0,384.0,544.0,22981.0,368.0,416.0,368.0,65535.0,4177.0,368.0,464.0,10690.0,512.0,496.0,496.0,65295.
6.231159448623657,170,102,75,464.0,528.0,352.0,23093.0,464.0,512.0,528.0,65535.0,4080.0,480.0,480.0,10418.0,480.0,480.0,480.0,65407.
6.2947773933410645,170,103,75,416.0,416.0,480.0,23781.0,496.0,464.0,512.0,65535.0,4064.0,480.0,400.0,11730.0,480.0,512.0,512.0,65295.
6.3589160442352295,170,104,75,528.0,496.0,480.0,23477.0,480.0,496.0,480.0,65535.0,4064.0,496.0,512.0,12339.0,480.0,528.0,528.0,65087.
6.4359283447265625,170,105,75,400.0,384.0,384.0,23349.0,384.0,464.0,384.0,65535.0,4273.0,384.0,384.0,13283.0,336.0,352.0,368.0,65535.
6.497333526611328,170,106,75,496.0,544.0,448.0,23877.0,464.0,416.0,464.0,65535.0,3664.0,384.0,544.0,12339.0,480.0,384.0,384.0,65503.
6.559901714324951,170,107,75,384.0,352.0,400.0,23109.0,528.0,336.0,352.0,65535.0,4257.0,480.0,336.0,10690.0,480.0,416.0,480.0,64943.
6.637832403182983,170,108,75,448.0,480.0,352.0,22965.0,512.0,384.0,384.0,65391.0,3984.0,384.0,384.0,10930.0,512.0,528.0,512.0,65215.
6.700470685958862,170,109,75,528.0,464.0,352.0,23253.0,528.0,464.0,512.0,65535.0,3808.0,528.0,416.0,10674.0,480.0,464.0,512.0,65215.
6.763472557067871,170,110,75,528.0,496.0,512.0,23829.0,432.0,480.0,448.0,65535.0,3984.0,512.0,480.0,10466.0,464.0,528.0,512.0,65535.
6.825837850570679,170,111,75,512.0,336.0,528.0,23717.0,512.0,512.0,432.0,65535.0,3872.0,464.0,496.0,10514.0,368.0,352.0,400.0,65327.
6.9029858112335205,170,112,75,496.0,480.0,528.0,23525.0,432.0,496.0,384.0,65535.0,3680.0,480.0,448.0,10546.0,464.0,352.0,368.0,65455.
6.964926242828369,170,113,75,512.0,464.0,480.0,23349.0,464.0,496.0,528.0,65535.0,3616.0,480.0,416.0,10978.0,384.0,496.0,416.0,65535.
7.026579856872559,170,114,75,480.0,416.0,416.0,22869.0,352.0,448.0,496.0,65535.0,3856.0,512.0,368.0,10898.0,512.0,368.0,384.0,65407.
7.089533090591431,170,115,75,480.0,480.0,432.0,23685.0,480.0,496.0,384.0,65247.0,4113.0,464.0,368.0,10642.0,512.0,352.0,400.0,64815.
7.152630090713501,170,116,75,448.0,432.0,528.0,23813.0,352.0,400.0,512.0,65535.0,3552.0,384.0,512.0,10770.0,512.0,496.0,464.0,65535.
7.215386152267456,170,117,75,496.0,464.0,480.0,23893.0,464.0,512.0,416.0,65535.0,3856.0,464.0,384.0,10754.0,464.0,480.0,432.0,65007.
7.277664661407471,170,118,75,464.0,480.0,400.0,23749.0,448.0,352.0,432.0,65535.0,4000.0,368.0,496.0,10914.0,464.0,528.0,544.0,65535.
7.34092116355896,170,119,75,544.0,384.0,464.0,23525.0,528.0,528.0,464.0,65535.0,3872.0,512.0,432.0,12355.0,528.0,512.0,560.0,65295.
0.010892391204833984,170,10,75,512.0,7217.0,384.0,20741.0,432.0,512.0,512.0,65535.0,4048.0,480.0,464.0,480.0,480.0,464.0,480.0,65231.
0.07293510437011719,170,11,75,432.0,7265.0,432.0,20709.0,432.0,384.0,416.0,65535.0,4000.0,400.0,304.0,432.0,464.0,320.0,512.0,64607.
0.13585495948791504,170,12,75,336.0,7281.0,432.0,20741.0,464.0,320.0,448.0,65535.0,3920.0,480.0,544.0,480.0,256.0,336.0,496.0,65423.
0.19870615005493164,170,13,75,528.0,496.0,336.0,21029.0,496.0,512.0,512.0,65535.0,5441.0,512.0,464.0,9250.0,480.0,6081.0,480.0,65535.
0.2623724937438965,170,14,75,576.0,528.0,512.0,20725.0,512.0,480.0,480.0,65535.0,6097.0,496.0,400.0,5393.0,720.0,480.0,368.0,65535.
0.3235502243041992,170,15,75,480.0,480.0,544.0,20965.0,352.0,544.0,528.0,65535.0,6721.0,560.0,512.0,10322.0,704.0,7601.0,400.0,64799.
0.3856792449951172,170,16,75,464.0,528.0,336.0,20997.0,352.0,496.0,496.0,65535.0,6401.0,400.0,512.0,10530.0,560.0,400.0,352.0,64863.
0.44776225090026855,170,17,75,512.0,512.0,464.0,20965.0,496.0,480.0,384.0,65535.0,6529.0,352.0,400.0,11330.0,816.0,5201.0,480.0,65007.
0.5111780166625977,170,18,75,480.0,464.0,416.0,22389.0,464.0,464.0,480.0,65535.0,6609.0,384.0,416.0,13283.0,704.0,736.0,464.0,65535.
0.6031460762023926,170,19,75,464.0,400.0,352.0,22533.0,464.0,336.0,352.0,65535.0,6545.0,512.0,464.0,13987.0,784.0,512.0,464.0,65183.
0.6816823482513428,170,20,75,432.0,544.0,480.0,22453.0,352.0,496.0,352.0,65535.0,6673.0,400.0,352.0,13891.0,736.0,480.0,480.0,65471.
0.743049144744873,170,21,75,528.0,512.0,416.0,22613.0,496.0,464.0,480.0,65535.0,6705.0,416.0,384.0,14275.0,688.0,464.0,432.0,64975.
0.8205280303955078,170,22,75,352.0,368.0,464.0,22709.0,432.0,480.0,352.0,65487.0,6337.0,512.0,512.0,14387.0,704.0,464.0,496.0,65279.
0.8825390338897705,170,23,75,480.0,528.0,352.0,22437.0,512.0,336.0,368.0,65535.0,6545.0,464.0,432.0,14419.0,720.0,464.0,352.0,65215.
0.9436588287353516,170,24,75,416.0,400.0,480.0,22357.0,480.0,512.0,480.0,65535.0,6433.0,544.0,496.0,14339.0,688.0,464.0,464.0,64991.
1.006206750869751,170,25,75,512.0,224.0,528.0,22693.0,400.0,480.0,480.0,65519.0,6417.0,496.0,512.0,14371.0,512.0,352.0,512.0,65535.
1.0684940814971924,170,26,75,304.0,352.0,512.0,22837.0,512.0,528.0,544.0,65535.0,5761.0,512.0,576.0,14227.0,464.0,480.0,384.0,64879.
1.1447031497955322,170,27,75,512.0,512.0,480.0,22549.0,432.0,480.0,432.0,65535.0,5185.0,416.0,592.0,14307.0,496.0,464.0,512.0,65183.
1.2078216075897217,170,28,75,480.0,384.0,400.0,22741.0,512.0,464.0,512.0,65535.0,5393.0,512.0,464.0,14291.0,496.0,416.0,464.0,65535.
1.2702693939208984,170,29,75,480.0,464.0,416.0,22949.0,448.0,336.0,368.0,65535.0,5441.0,528.0,480.0,14035.0,528.0,480.0,448.0,65535.
1.3482701778411865,170,30,75,512.0,400.0,512.0,22725.0,464.0,560.0,528.0,65503.0,5153.0,416.0,480.0,14291.0,352.0,544.0,512.0,65327.
1.410745620727539,170,31,75,352.0,352.0,512.0,23317.0,384.0,368.0,464.0,65535.0,4449.0,512.0,512.0,14403.0,336.0,432.0,544.0,65183.
1.4728522300720215,170,32,75,560.0,352.0,448.0,23349.0,320.0,560.0,512.0,65519.0,4369.0,448.0,464.0,14275.0,464.0,496.0,368.0,65471.
